challenge_id,challenge_name,status,prize,days_length,reg_start,reg_end,reg_date,no_of_reg
30048033,"Web Arena - Bug Fix Inconsistent Scroll Bar","Cancelled - Client R",75,31,2014-12-15,2015-01-14,2014-12-18,1
30048033,"Web Arena - Bug Fix Inconsistent Scroll Bar","Cancelled - Client R",75,31,2014-12-15,2015-01-14,2014-12-19,1
30048033,"Web Arena - Bug Fix Inconsistent Scroll Bar","Cancelled - Client R",75,31,2014-12-15,2015-01-14,2014-12-23,2
30048036,"TopCoder Web Module - Reg2 Callback is Not Working","Cancelled - Client R",100,31,2014-12-16,2015-01-15,2014-12-16,2
30048036,"TopCoder Web Module - Reg2 Callback is Not Working","Cancelled - Client R",100,31,2014-12-16,2015-01-15,2014-12-18,3
30048036,"TopCoder Web Module - Reg2 Callback is Not Working","Cancelled - Client R",100,31,2014-12-16,2015-01-15,2014-12-19,2
30048037,"TopCoder Web Module - Fix Problem to Build and Deploy",Completed,100,31,2014-12-16,2015-01-15,2014-12-16,6
30048037,"TopCoder Web Module - Fix Problem to Build and Deploy",Completed,100,31,2014-12-16,2015-01-15,2014-12-17,1
30048037,"TopCoder Web Module - Fix Problem to Build and Deploy",Completed,100,31,2014-12-16,2015-01-15,2014-12-18,1
30048038,"Web Arena - Remember Me  Fix",Completed,50,31,2014-12-17,2015-01-16,2014-12-17,4
30048038,"Web Arena - Remember Me  Fix",Completed,50,31,2014-12-17,2015-01-16,2014-12-18,1
30048038,"Web Arena - Remember Me  Fix",Completed,50,31,2014-12-17,2015-01-16,2014-12-19,1
30048038,"Web Arena - Remember Me  Fix",Completed,50,31,2014-12-17,2015-01-16,2014-12-20,1
30048038,"Web Arena - Remember Me  Fix",Completed,50,31,2014-12-17,2015-01-16,2014-12-21,3
30048038,"Web Arena - Remember Me  Fix",Completed,50,31,2014-12-17,2015-01-16,2014-12-22,2
30048038,"Web Arena - Remember Me  Fix",Completed,50,31,2014-12-17,2015-01-16,2014-12-23,2
30048056,"Web Arena - Bug Fix I-143203",Completed,50,31,2014-12-17,2015-01-16,2014-12-17,1
30048056,"Web Arena - Bug Fix I-143203",Completed,50,31,2014-12-17,2015-01-16,2014-12-18,1
30048057,"Web Arena - Bug Fix I-143205",Completed,50,31,2014-12-17,2015-01-16,2014-12-17,2
30048057,"Web Arena - Bug Fix I-143205",Completed,50,31,2014-12-17,2015-01-16,2014-12-18,3
30048057,"Web Arena - Bug Fix I-143205",Completed,50,31,2014-12-17,2015-01-16,2014-12-19,3
30048057,"Web Arena - Bug Fix I-143205",Completed,50,31,2014-12-17,2015-01-16,2014-12-22,1
30048057,"Web Arena - Bug Fix I-143205",Completed,50,31,2014-12-17,2015-01-16,2014-12-23,1
30048057,"Web Arena - Bug Fix I-143205",Completed,50,31,2014-12-17,2015-01-16,2014-12-24,1
30048057,"Web Arena - Bug Fix I-143205",Completed,50,31,2014-12-17,2015-01-16,2014-12-25,1
30048058,"Web Arena - Bug Fix Floating Footer",Completed,50,31,2014-12-17,2015-01-16,2014-12-17,5
30048058,"Web Arena - Bug Fix Floating Footer",Completed,50,31,2014-12-17,2015-01-16,2014-12-18,1
